Title,Description,Tips
"Agastache Seeds Fragrant Delight Mix","Deliciously fragrant flower spikes in apricot, grape, and raspberry colors! Prepare for the buzz of a diversity of beneficial insects and hummingbirds! These 2-foot tall plants are a welcome addition to the pollinator garden.Perennial in zones 6-10, typically grown as an annual. Full SunSprouts in 14-21 DaysIdeal Temperature: 60-90 Degrees FSeed Depth: Surface SowPlant Spacing: 12\" apartFrost Hardy: YesAgastache aurantiaca","Perennial zones 7-10. Start indoors 4 to 6 weeks before last frost date or direct sow after. Surface sow and press tightly into the soil. Keep seeds moist until germination. Light aids germination."
"Agastache Seeds Anise Hyssop","Beloved by pollinators and tea aficionados alike. A perennial that blooms in the first year, it is hardy from USDA zones 4-8. Considered extremely easy to grow, this is a top choice for beds, borders, herb gardens, and even containers. The leaves and flowers are used to make one of the best herb teas; the foliage possesses a naturally sweet, wonderful anise taste and fragrance. Pretty purple flower spikes that bees love! There are myriad medicinal and culinary uses for this amazing plant.6-12 hours of SunSprouts in 7-16 DaysIdeal Temperature: 68-70 Degrees FSeed Depth: 1/4\"Plant Spacing: 12-18\"Frost Hardy: YesAgastache foeniculum","Start seeds indoors at least 6-8 weeks before the last frost date in well-drained, sterile seed-starting mix, keeping uniformly moist until sprouts appear. "
"Agastache Seeds Apache Sunset","Fragrant, minty, root beer-scented flowers and foliage make this deep orange and purple-tinted bloomed agastache a phenomenal tea plant. The hummingbirds, butterflies and bees find the plant irresistible, and we love the intoxicating fragrance and mellow-flavored tea made from the foliage and flowers. Mature height is 18-24 inches high and 12-18 inches wide. Super drought tolerant and tolerant of a range of soils.PerennialFull SunSprouts in 14-21 DaysIdeal Temperature: 60-90 Degrees FSeed Depth: Surface SowPlant Spacing: 12\" apartFrost Hardy: YesAgastache rupestris","Perennial zones 4-10. Start indoors 4 to 6 weeks before last frost date or direct sow after. Surface Sowand press tightly into the soil. Keep seeds moist until germination. Light aids germination."
"Agastache Seeds Arcado Pink","Think Anise hyssop with a twist. This variety blooms in clear pink rather than the more usual lavender-purple. Incredibly free-flowering on compact plants, early summer right through to hard frost, and the bees, butterflies and hummingbirds love it!PerennialFull SunSprouts in 7-16 DaysSeed Depth: Surface SowIdeal Temperature: 68 FPlant Spacing: 12\" Frost Hardy: NoAgastache hybrida"," Tender perennial. Surface sow, pressing seeds into the soil. Will transplant easily at any age or direct sow after danger of frost. Prefers full sun and sandy, moist, well-drained loam soil. "
"Agastache Seeds Golden Jubilee Korean Hyssop","Also known as purple giant hyssop, this highly ornamental medicinal herb is native to East Asia. The chartreuse, golden foliage and heavy scent makes this an award-winning perennial. This easy, adaptable perennial is attractive to pollinators and makes a lovely anise-flavored tea. Hardy from zones 5-10. A key herb in Traditional Chinese Medicine, the plant is used to soothe digestion and many other ailments. The purple blooms add brush strokes of color to the perennial border all summer long. Plants average 2 feet tall and will be covered in oodles of butterflies and bees; goldfinches also love the seeds. One of the most beautiful and fragrant plants in our garden.8-12 hours of SunSprouts in 7-16 DaysIdeal Temperature: 68 Degrees FSeed Depth: Surface SowPlant Spacing: 12\"Frost Hardy: NoAgastache rugosa","Surface sow, pressing seeds into the soil. Will transplant easily at any age or direct sow after danger of frost. Prefers full sun and sandy, moist, well-drained loam soil. "
"Agastache Seeds Lavender Martini","This tidy and compact agastache produces soft lavender-colored flower spikes irresistible to pollinators and a range of beneficial insects. Plants are perfectly suited for pots as well as beds and borders, as they reach just 10 inches tall. The foliage and blooms are delightfully fragrant and make a flavorful tea that we love to sip. A fabulous choice for the tea garden or your pollinator patch.Perennial in zones 6-10, or grow as an annualFull SunSprouts in 14-21 daysIdeal Temperature: 60-90 Degrees FSeed Depth: Surface SowPlant Spacing: 12”Frost Hardy: YesAgastache aurantiaca  ","Start indoors 4 to 6 weeks before last frost date or direct sow after. Surface sow and press lightly into the soil. Keep seeds moist until germination. Light aids germination."
"Agastache Seeds Raspberry Daiquiri","The heavenly fragrance and stunning raspberry-colored flowers make this agastache irresistible to pollinators, and a favorite in our trial gardens! Plants average 15 inches tall and 12 inches wide. Attractive to a wide range of pollinators and also resistant to deer and rabbits. Blooms from early summer to mid fall.Perennial in USDA zones 5-10Full SunSprouts in 14-21 DaysIdeal Temperature: 60-90 Degrees FSeed Depth: Surface SowPlant Spacing: 12\" apartFrost Hardy: YesAgastache aurantiaca","Perennial zones 4-10. Start indoors 4 to 6 weeks before last frost date or direct sow after. Surface sow and press tightly into the soil. Keep seeds moist until germination. Light aids germination."
"Agastache Seeds Rose Mint","This aromatic perennial has a phenomenal minty, rose fragrance. Prepare for a super long season of heavenly scented blooms; this agastache will set flowers in June that last until September! Its cheerful pink flower spikes attract pollinators and beneficials from across the animal kingdom! The irresistible blooms are colored a lavender-rose, and add drifts of soft color and heady scent to landscapes. The care-free plants thrive even in poor soil. This plant is highly revered by the Ramah Navajo, who use the plant parts in ceremonies as well as for their medicinal properties. A native of New Mexico and Texas. Full SunSprouts in 14-21 DaysIdeal Temperature: 60-90 Degrees FSeed Depth: Surface SowPlant Spacing: 12\" apartFrost Hardy: YesAgastache pallidiflora ssp. neomexicana","Perennial zones 4-10. Start indoors 4 to 6 weeks before last frost date or direct sow after. Surface Sowand press tightly into the soil. Keep seeds moist until germination. Light aids germination."
"Agastache Seeds Texas Hummingbird Mint 'Heather Queen'","Tidy half-hardy perennial that is aromatic and attractive to pollinators. Plants fill the air with minty fragrance; the pretty spiked flowers are popular for arranging. This dynamic landscape plant is easy to grow, adds long-season color, and grows in neat clumps that do not spread or take over. Hardy, overwinters from zones 6a-9b, but can be easily grown farther north as an annual. Pollinators are drawn to its fragrance, and hummingbirds cannot resist the flowers! This plant can be dried for making tea and is also used to make a mosquito-repelling oil.Full SunSprouts in 14-21 DaysIdeal Temperature: 60-90 Degrees FSeed Depth: Surface SowPlant Spacing: 12\" apartFrost Hardy: YesAgastache cana","Perennial zones 6a-9b. Start indoors 4 to 6 weeks before the last frost date or direct sow after. Surface Sow and press tightly into the soil. Keep seeds moist until germination. Light aids germination."
"Ageratum Seeds Ball Mixed","A soft blend of lavender, mauve, and cream. These dainty, dwarf plants reach just 12 inches tall. Alluring to butterflies and bees, the tidy bedding plants can be tucked into pots, beds, borders, fairy gardens, pollinator patches, and more.Full SunSprouts in 7-10 DaysSeed Depth: Surface SowIdeal Temperature: 75-80 FPlant Spacing: 9-12\" apartFrost Hardy: NoAgeratum houstonianum","Start indoors 6-8 weeks before last frost.  Do not cover seed, as light aids germination. Bottom water or mist to keep moist until sprouts appear. Grow in full sun to light shade. No pinching or support is needed."
"Ageratum Seeds Leda","The fluffy blooms create clouds of soft periwinkle in the garden. A must-have for landscaping, cottage gardens, container gardening, or anywhere needing a soothing floral element. Tidy plants are simply covered in a sea of lovely blooms, a perfect bedding plant, and an easy-to-grow mid-season bloomer in the most pleasing color. 85 - 90 days6-8 Hours of SunSprouts in 7-10 DaysIdeal Temperature: 75-80 Degrees FSeed Depth: Surface SowPlant Spacing: 9-12\" apartFrost Hardy: NoAgeratum mexicanum","Start indoors 6-8 weeks before last frost. Do not cover seed, as light aids germination. Bottom water or mist to keep moist until sprouts appear. Grow in full sun to light shade. No pinching or support is needed."
"Ageratum Seeds Red Flint","A unique spin on a cottage garden favorite with blooms in reddish, berry tones! This taller variety stands about 24 inches in height, and the flowers are a unique shade between boysenberry, jam and plum… an exquisite departure from the usual! This breathtaking heirloom pops in arrangements, landscapes, beds, and borders.85 - 90 days6-8 hours of sunSprouts in 7-10 DaysIdeal Temperature: 75-80 Degrees FSeed Depth: Surface SowPlant Spacing: 9-12\" apartFrost Hardy: NoAgeratum houstonianum","Start indoors 6-8 weeks before last frost. Do not cover seed, as light aids germination. Bottom water or mist to keep moist until sprouts appear. Grow in full sun to light shade. No pinching or support is needed."
"Amaranth Seeds Pink Beauty","A heat-tolerant and tender green perfect for those looking to infuse magenta-pink color into their culinary color palette! The tender, bright pink stems and soft, glossy green leaves make this a gourmet spinach substitute. Among the heat-tolerant greens, this one is especially refined and tasty. It hails from southern India, where you can find these greens sliced into ribbons and stir fried with chilies, garlic, curry leaf and grated fresh coconut. The greens are endlessly versatile, and we enjoy them raw and cooked. A powerhouse of nutrition and very heat tolerant for summer. A gorgeous addition to the garden an edible ornamental indeed!Full SunSprouts in 3-4 daysIdeal Temperature: 65-90 Degrees FSeed Depth: 1/8”Plant Spacing: 12”Frost Hardy: NoAmaranthus tricolor  ","Surface sow seeds directly in the garden after danger of frost, barely covering. Requires full sun. Tolerates heat and drought but does best with average moisture and fertility."
"Amaranth Seeds Aurelia's Verde","This native amaranth from Guatemala flowers light green. It is primarily used for grain rich in vitamin B, vitamin A, vitamin E, and iron. This variety has been revived in the Maya communities of Baja Verapaz after almost being lost during the civil war. It is named for Aurelia, the woman whose family revived and saved seeds of this amaranth. We donate 100% of the proceeds of each sale of this item to Qachuu Aloom, a Guatemalan seed saving organization.90 DaysFull SunSprouts in 3-4 DaysIdeal Temperature: 65-90 Degrees FPlant Spacing: 6\"Frost Hardy: NoAmaranthus cruentus","Surface sow seeds directly in the garden after danger of frost, barely covering. Requires full sun. Tolerates heat and drought but does best with average moisture and fertility."
"Amaranth Seeds Chinese Multicolor Spinach","A heat- and drought-tolerant green in spectacular splashes of color! This leafy “spinach” amaranth is popular in Asia, eaten raw, stir fried, or steamed. Known as bireum in Korea and as xian cai in China. Recent research has shown that amaranth in Asia is identical to that of amaranth in the Americas, and has been proven to have existed in Asia for millennia. For some, the presence of amaranth in Asia is considered a living piece of evidence that pre-Columbian transatlantic trade indeed happened. This is by far the most tender and sweetest amaranth for edible greens, making for vibrant and delicious salad. The young leaves are a perfect spinach substitute; the intricately colored leaves are juicy and succulent. This is the go-to “green” for midsummer when all others have bolted, and can be harvested just 30-40 days from sowing.30 - 40 daysFull SunSprouts in 3-4 DaysIdeal Temperature: 65-90 Degrees FPlant Spacing: 6\"Frost Hardy: NoAmaranthus tricolor","Surface sow seeds directly in the garden after danger of frost, barely covering. Requires full sun. Tolerates heat and drought but does best with average moisture and fertility."
